表章項目,年齢5歳階級,男女別,全国・都道府県,時間軸（年月日現在）,@unit,$
人口,総数,男女計,全国,2022年10月1日現在,人,124946789
人口,総数,男女計,北海道,2022年10月1日現在,人,5140354
人口,総数,男女計,青森県,2022年10月1日現在,人,1204392
人口,総数,男女計,岩手県,2022年10月1日現在,人,1180595
人口,総数,男女計,宮城県,2022年10月1日現在,人,2279977
人口,総数,男女計,秋田県,2022年10月1日現在,人,929901
人口,総数,男女計,山形県,2022年10月1日現在,人,1041025
人口,総数,男女計,福島県,2022年10月1日現在,人,1790181
人口,総数,男女計,茨城県,2022年10月1日現在,人,2839555
人口,総数,男女計,栃木県,2022年10月1日現在,人,1908821
人口,総数,男女計,群馬県,2022年10月1日現在,人,1913254
人口,総数,男女計,埼玉県,2022年10月1日現在,人,7337089
人口,総数,男女計,千葉県,2022年10月1日現在,人,6265975
人口,総数,男女計,東京都,2022年10月1日現在,人,14038167
人口,総数,男女計,神奈川県,2022年10月1日現在,人,9232489
人口,総数,男女計,新潟県,2022年10月1日現在,人,2152693
人口,総数,男女計,富山県,2022年10月1日現在,人,1016534
人口,総数,男女計,石川県,2022年10月1日現在,人,1117637
人口,総数,男女計,福井県,2022年10月1日現在,人,752855
人口,総数,男女計,山梨県,2022年10月1日現在,人,801874
人口,総数,男女計,長野県,2022年10月1日現在,人,2019993
人口,総数,男女計,岐阜県,2022年10月1日現在,人,1945763
人口,総数,男女計,静岡県,2022年10月1日現在,人,3582297
人口,総数,男女計,愛知県,2022年10月1日現在,人,7495171
人口,総数,男女計,三重県,2022年10月1日現在,人,1742174
人口,総数,男女計,滋賀県,2022年10月1日現在,人,1408931
人口,総数,男女計,京都府,2022年10月1日現在,人,2549749
人口,総数,男女計,大阪府,2022年10月1日現在,人,8782484
人口,総数,男女計,兵庫県,2022年10月1日現在,人,5402493
人口,総数,男女計,奈良県,2022年10月1日現在,人,1305812
人口,総数,男女計,和歌山県,2022年10月1日現在,人,903265
人口,総数,男女計,鳥取県,2022年10月1日現在,人,543620
人口,総数,男女計,島根県,2022年10月1日現在,人,657909
人口,総数,男女計,岡山県,2022年10月1日現在,人,1862317
人口,総数,男女計,広島県,2022年10月1日現在,人,2759500
人口,総数,男女計,山口県,2022年10月1日現在,人,1313403
人口,総数,男女計,徳島県,2022年10月1日現在,人,703852
人口,総数,男女計,香川県,2022年10月1日現在,人,934060
人口,総数,男女計,愛媛県,2022年10月1日現在,人,1306486
人口,総数,男女計,高知県,2022年10月1日現在,人,675705
人口,総数,男女計,福岡県,2022年10月1日現在,人,5116046
人口,総数,男女計,佐賀県,2022年10月1日現在,人,800787
人口,総数,男女計,長崎県,2022年10月1日現在,人,1283128
人口,総数,男女計,熊本県,2022年10月1日現在,人,1718327
人口,総数,男女計,大分県,2022年10月1日現在,人,1106831
人口,総数,男女計,宮崎県,2022年10月1日現在,人,1052338
人口,総数,男女計,鹿児島県,2022年10月1日現在,人,1562662
人口,総数,男女計,沖縄県,2022年10月1日現在,人,1468318
人口,総数,男,全国,2022年10月1日現在,人,60757789
人口,総数,男,北海道,2022年10月1日現在,人,2426664
人口,総数,男,青森県,2022年10月1日現在,人,567899
人口,総数,男,岩手県,2022年10月1日現在,人,569710
人口,総数,男,宮城県,2022年10月1日現在,人,1111869
人口,総数,男,秋田県,2022年10月1日現在,人,439111
人口,総数,男,山形県,2022年10月1日現在,人,504579
人口,総数,男,福島県,2022年10月1日現在,人,883997
人口,総数,男,茨城県,2022年10月1日現在,人,1417992
人口,総数,男,栃木県,2022年10月1日現在,人,952482
人口,総数,男,群馬県,2022年10月1日現在,人,946796
人口,総数,男,埼玉県,2022年10月1日現在,人,3642881
人口,総数,男,千葉県,2022年10月1日現在,人,3104173
人口,総数,男,東京都,2022年10月1日現在,人,6889255
人口,総数,男,神奈川県,2022年10月1日現在,人,4579464
人口,総数,男,新潟県,2022年10月1日現在,人,1046145
人口,総数,男,富山県,2022年10月1日現在,人,494651
人口,総数,男,石川県,2022年10月1日現在,人,542634
人口,総数,男,福井県,2022年10月1日現在,人,368011
人口,総数,男,山梨県,2022年10月1日現在,人,393941
人口,総数,男,長野県,2022年10月1日現在,人,987939
人口,総数,男,岐阜県,2022年10月1日現在,人,944667
人口,総数,男,静岡県,2022年10月1日現在,人,1766392
人口,総数,男,愛知県,2022年10月1日現在,人,3734318
人口,総数,男,三重県,2022年10月1日現在,人,851350
人口,総数,男,滋賀県,2022年10月1日現在,人,695069
人口,総数,男,京都府,2022年10月1日現在,人,1217215
人口,総数,男,大阪府,2022年10月1日現在,人,4202002
人口,総数,男,兵庫県,2022年10月1日現在,人,2567269
人口,総数,男,奈良県,2022年10月1日現在,人,614418
人口,総数,男,和歌山県,2022年10月1日現在,人,425787
人口,総数,男,鳥取県,2022年10月1日現在,人,260094
人口,総数,男,島根県,2022年10月1日現在,人,318409
人口,総数,男,岡山県,2022年10月1日現在,人,895914
人口,総数,男,広島県,2022年10月1日現在,人,1337933
人口,総数,男,山口県,2022年10月1日現在,人,624394
人口,総数,男,徳島県,2022年10月1日現在,人,336340
人口,総数,男,香川県,2022年10月1日現在,人,451369
人口,総数,男,愛媛県,2022年10月1日現在,人,620131
人口,総数,男,高知県,2022年10月1日現在,人,319583
人口,総数,男,福岡県,2022年10月1日現在,人,2422727
人口,総数,男,佐賀県,2022年10月1日現在,人,379917
人口,総数,男,長崎県,2022年10月1日現在,人,603890
人口,総数,男,熊本県,2022年10月1日現在,人,814285
人口,総数,男,大分県,2022年10月1日現在,人,526232
人口,総数,男,宮崎県,2022年10月1日現在,人,497153
人口,総数,男,鹿児島県,2022年10月1日現在,人,737962
人口,総数,男,沖縄県,2022年10月1日現在,人,722776
人口,総数,女,全国,2022年10月1日現在,人,64189000
人口,総数,女,北海道,2022年10月1日現在,人,2713690
人口,総数,女,青森県,2022年10月1日現在,人,636493
人口,総数,女,岩手県,2022年10月1日現在,人,610885
人口,総数,女,宮城県,2022年10月1日現在,人,1168108
人口,総数,女,秋田県,2022年10月1日現在,人,490790
人口,総数,女,山形県,2022年10月1日現在,人,536446
人口,総数,女,福島県,2022年10月1日現在,人,906184
人口,総数,女,茨城県,2022年10月1日現在,人,1421563
人口,総数,女,栃木県,2022年10月1日現在,人,956339
人口,総数,女,群馬県,2022年10月1日現在,人,966458
人口,総数,女,埼玉県,2022年10月1日現在,人,3694208
人口,総数,女,千葉県,2022年10月1日現在,人,3161802
人口,総数,女,東京都,2022年10月1日現在,人,7148912
人口,総数,女,神奈川県,2022年10月1日現在,人,4653025
人口,総数,女,新潟県,2022年10月1日現在,人,1106548
人口,総数,女,富山県,2022年10月1日現在,人,521883
人口,総数,女,石川県,2022年10月1日現在,人,575003
人口,総数,女,福井県,2022年10月1日現在,人,384844
人口,総数,女,山梨県,2022年10月1日現在,人,407933
人口,総数,女,長野県,2022年10月1日現在,人,1032054
人口,総数,女,岐阜県,2022年10月1日現在,人,1001096
人口,総数,女,静岡県,2022年10月1日現在,人,1815905
人口,総数,女,愛知県,2022年10月1日現在,人,3760853
人口,総数,女,三重県,2022年10月1日現在,人,890824
人口,総数,女,滋賀県,2022年10月1日現在,人,713862
人口,総数,女,京都府,2022年10月1日現在,人,1332534
人口,総数,女,大阪府,2022年10月1日現在,人,4580482
人口,総数,女,兵庫県,2022年10月1日現在,人,2835224
人口,総数,女,奈良県,2022年10月1日現在,人,691394
人口,総数,女,和歌山県,2022年10月1日現在,人,477478
人口,総数,女,鳥取県,2022年10月1日現在,人,283526
人口,総数,女,島根県,2022年10月1日現在,人,339500
人口,総数,女,岡山県,2022年10月1日現在,人,966403
人口,総数,女,広島県,2022年10月1日現在,人,1421567
人口,総数,女,山口県,2022年10月1日現在,人,689009
人口,総数,女,徳島県,2022年10月1日現在,人,367512
人口,総数,女,香川県,2022年10月1日現在,人,482691
人口,総数,女,愛媛県,2022年10月1日現在,人,686355
